iter	Passed	Remaining
521	1136858	3218919
522	1138941	3216474
523	1140928	3213760
524	1143134	3211662
525	1145209	3209198
526	1147343	3206900
527	1149657	3205104
528	1151979	3203329
529	1154064	3200896
530	1156228	3198680
531	1158411	3196518
532	1160449	3193957
533	1162676	3191917
534	1164743	3189436
535	1166895	3187191
536	1169080	3185035
537	1171131	3182518
538	1173359	3180478
539	1175716	3178790
540	1177792	3176337
541	1179870	3173895
542	1181883	3171278
543	1183976	3168877
544	1186098	3166556
545	1188272	3164373
546	1190470	3162254
547	1192638	3160057
548	1194709	3157600
549	1196915	3155505
550	1198915	3152865
551	1201170	3150897
552	1203293	3148581
553	1205478	3146428
554	1207533	3143937
555	1209704	3141751
556	1211895	3139613
557	1214128	3137587
558	1216257	3135289
559	1218488	3133256
560	1220688	3131142
561	1222782	3128755
562	1224952	3126567
563	1227253	3124709
564	1229518	3122760
565	1231751	3120726
566	1233880	3118431
567	1236178	3116562
568	1238388	3114470
569	1240466	3112046
570	1242586	3109731
571	1244737	3107491
572	1247004	3105542
573	1249246	3103527
574	1251323	3101106
575	1253480	3098883
576	1255560	3096469
577	1257694	3094188
578	1259782	3091798
579	1261902	3089485
580	1264049	3087240
581	1266228	3085073
582	1268410	3082912
583	1270504	3080539
584	1272754	3078544
585	1274818	3076097
586	1277046	3074049
587	1279121	3071632
588	1281273	3069401
589	1283345	3066978
590	1285642	3065093
591	1287700	3062638
592	1289754	3060175
593	1291959	3058072
594	1294039	3055673
595	1296098	3053224
596	1298278	3051063
597	1300524	3049056
598	1302746	3046991
599	1304788	3044506
600	1306915	3042221
601	1308863	3039519
602	1310995	3037248
603	1313006	3034696
604	1315291	3032778
605	1317423	3030509
606	1319506	3028125
607	1321804	3026236
608	1324005	3024123
609	1326186	3021966
610	1328328	3019719
611	1330471	3017473
612	1332769	3015581
613	1334826	3013142
614	1336992	3010951
615	1339126	3008686
616	1341263	3006430
617	1343443	3004270
618	1345619	3002101
619	1347687	2999691
620	1349822	2997431
621	1352298	2995928
622	1354523	2993865
623	1356883	2992101
624	1359024	2989854
625	1361089	2987439
626	1363162	2985044
627	1365251	2982683
628	1367331	2980304
629	1369424	2977953
630	1371696	2975995
631	1373937	2973966
632	1376139	2971851
633	1378272	2969589
634	1380463	2967452
635	1382435	2964845
636	1384583	2962617
637	1386694	2960310
638	1388876	2958155
639	1391258	2956423
640	1393270	2953906
641	1395565	2951989
642	1397639	2949607
643	1399799	2947403
644	1401840	2944952
645	1403951	2942646
646	1406069	2940358
647	1408240	2938180
648	1410592	2936378
649	1412649	2933964
650	1414886	2931923
651	1417181	2930001
652	1419293	2927700
653	1421536	2925669
654	1423771	2923622
655	1425738	2921025
656	1427998	2919028
657	1430117	2916743
658	1432181	2914348
659	1434313	2912090
660	1436577	2910102
661	1438729	2907884
662	1440860	2905626
663	1442987	2903359
664	1445119	2901104
665	1447315	2898976
666	1449485	2896798
667	1451656	2894620
668	1453713	2892215
669	1455749	2889770
670	1457837	2887430
671	1459829	2884900
672	1462021	2882767
673	1463967	2880149
674	1466164	2878027
675	1468182	2875553
676	1470365	2873402
677	1472639	2871430
678	1474937	2869502
679	1477072	2867258
680	1479234	2865066
681	1481395	2862873
682	1483579	2860724
683	1485910	2858856
684	1488144	2856802
685	1490264	2854529
686	1492345	2852183
687	1494473	2849926
688	1496693	2847844
689	1498916	2845769
690	1500999	2843426
691	1503139	2841193
692	1505247	2838900
693	1507386	2836667
694	1509562	2834502
695	1511660	2832190
696	1513964	2830267
697	1516055	2827943
698	1518190	2825701
699	1520286	2823389
700	1522569	2821423
701	1524676	2819130
702	1526812	2816893
703	1529025	2814797
704	1531102	2812451
705	1533256	2810245
706	1535609	2808406
707	1537818	2806301
708	1539996	2804140
709	1542144	2801924
710	1544406	2799915
711	1546617	2797813
712	1548776	2795617
713	1550867	2793298
714	1552884	2790848
715	1555030	2788629
716	1557098	2786273
717	1559228	2784026
718	1561294	2781667
719	1563492	2779541
720	1565728	2777485
721	1567796	2775129
722	1569843	2772739
723	1571960	2770472
724	1573997	2768065
725	1576142	2765847
726	1578140	2763373
727	1580360	2761288
728	1582482	2759033
729	1584743	2757019
730	1586995	2754989
731	1589173	2752830
732	1591406	2750766
733	1593546	2748542
734	1595535	2746057
735	1597724	2743917
736	1599834	2741642
737	1601990	2739447
738	1604219	2737375
739	1606289	2735032
740	1608454	2732853
741	1610559	2730571
742	1612732	2728404
743	1614886	2726207
744	1616980	2723907
745	1619171	2721770
746	1621326	2719574
747	1623421	2717277
748	1625638	2715184
749	1627965	2713276
750	1630369	2711492
751	1632456	2709182
752	1634635	2707025
753	1636768	2704792
754	1639141	2702955
755	1641214	2700622
756	1643465	2698583
757	1645591	2696337
758	1647716	2694092
759	1649828	2691826
760	1651987	2689635
761	1654118	2687400
762	1656162	2685023
763	1658293	2682789
764	1660361	2680453
765	1662519	2678261
766	1664630	2675996
767	1666809	2673839
768	1669139	2671925
769	1671292	2669726
770	1673549	2667694
771	1675739	2665555
772	1677999	2663525
773	1680308	2661574
774	1682640	2659657
775	1684697	2657306
776	1687005	2655351
777	1689232	2653267
778	1691248	2650852
779	1693354	2648580
780	1695532	2646420
781	1697658	2644178
782	1699752	2641888
783	1701764	2639470
784	1703927	2637289
785	1706074	2635082
786	1708124	2632724
787	1710321	2630596
